"NGenes"	"PropDown"	"PropUp"	"Direction"	"PValue"	"FDR"	"PValue.Mixed"	"FDR.Mixed"
"AURKA"	4	0.25	0	"Down"	0.452	0.9955	0.549	0.949900332225914
"EPHA10"	6	0.166666666666667	0	"Down"	0.454	0.9955	0.302	0.949900332225914
"PRKCQ"	5	0	0	"Up"	0.454	0.9955	0.817	0.949900332225914
"EPHA2"	5	0.2	0	"Down"	0.458	0.9955	0.235	0.949900332225914
"CDKN1B"	4	0	0	"Up"	0.458	0.9955	0.701	0.949900332225914
"AATK"	4	0	0	"Down"	0.469	0.9955	0.496	0.949900332225914
"KALRN"	6	0.166666666666667	0	"Down"	0.47	0.9955	0.826	0.949900332225914
"KSR2"	6	0	0	"Up"	0.47	0.9955	0.448	0.949900332225914
"PIM3"	4	0	0	"Up"	0.472	0.9955	0.516	0.949900332225914
"HK2"	4	0	0	"Up"	0.472	0.9955	0.773	0.949900332225914
"TNNI3K"	4	0.25	0	"Down"	0.473	0.9955	0.684	0.949900332225914
"FKBP1A"	5	0.2	0	"Down"	0.482	0.9955	0.251	0.949900332225914
"BAZ1B"	4	0.25	0	"Down"	0.484	0.9955	0.533	0.949900332225914
"SMG1"	4	0	0	"Down"	0.484	0.9955	0.485	0.949900332225914
"PKLR"	5	0	0	"Down"	0.485	0.9955	0.882	0.949900332225914
"CDK8"	5	0	0	"Up"	0.489	0.9955	0.604	0.949900332225914
"INSR"	6	0	0	"Down"	0.491	0.9955	0.465	0.949900332225914
"MAST3"	5	0	0	"Down"	0.492	0.9955	0.888	0.949900332225914
"CCND1"	4	0	0	"Down"	0.494	0.9955	0.348	0.949900332225914
"ERBB2"	8	0.125	0.125	"Down"	0.497	0.9955	0.325	0.949900332225914
"ULK3"	4	0	0	"Down"	0.497	0.9955	0.722	0.949900332225914
"STK25"	4	0	0	"Down"	0.507	0.9955	0.582	0.949900332225914
"JAK1"	4	0	0	"Down"	0.507	0.9955	0.852	0.949900332225914
"MAPK9"	7	0	0	"Up"	0.514	0.9955	0.477	0.949900332225914
"MAPK13"	8	0.125	0	"Up"	0.521	0.9955	0.499	0.949900332225914
"WEE2"	7	0	0	"Down"	0.524	0.9955	0.469	0.949900332225914
"ALK"	7	0	0	"Down"	0.525	0.9955	0.732	0.949900332225914
"CLP1"	6	0	0	"Down"	0.53	0.9955	0.64	0.949900332225914
"PIK3CG"	5	0	0	"Down"	0.537	0.9955	0.671	0.949900332225914
"FYN"	4	0	0	"Up"	0.539	0.9955	0.367	0.949900332225914
"NRK"	4	0	0	"Down"	0.54	0.9955	0.752	0.949900332225914
"CAMK1"	4	0	0	"Down"	0.543	0.9955	0.62	0.949900332225914
"GUCY2F"	8	0	0	"Down"	0.55	0.9955	0.539	0.949900332225914
"KCNH1"	6	0	0	"Down"	0.551	0.9955	0.651	0.949900332225914
"PRKCG"	4	0	0	"Up"	0.554	0.9955	0.697	0.949900332225914
"ARAF"	6	0	0	"Up"	0.555	0.9955	0.556	0.949900332225914
"KDR"	4	0	0	"Down"	0.555	0.9955	0.772	0.949900332225914
"CSF2RB"	6	0	0	"Down"	0.571	0.9955	0.509	0.949900332225914
"MAP4K4"	4	0	0	"Up"	0.572	0.9955	0.592	0.949900332225914
"SRC"	6	0	0	"Up"	0.574	0.9955	0.595	0.949900332225914
"FLT1"	7	0	0	"Down"	0.575	0.9955	0.481	0.949900332225914
"TRIM28"	4	0	0	"Up"	0.575	0.9955	0.361	0.949900332225914
"DGKG"	9	0	0	"Up"	0.576	0.9955	0.669	0.949900332225914
"MAP3K10"	4	0	0	"Down"	0.579	0.9955	0.836	0.949900332225914
"REV1"	4	0	0	"Down"	0.583	0.9955	0.558	0.949900332225914
"AK7"	6	0.166666666666667	0.166666666666667	"Down"	0.586	0.9955	0.049	0.949900332225914
"PPIP5K1"	4	0	0	"Down"	0.586	0.9955	0.626	0.949900332225914
"TEK"	5	0	0.2	"Up"	0.588	0.9955	0.21	0.949900332225914
"WNK4"	5	0.2	0	"Down"	0.593	0.9955	0.526	0.949900332225914
"DSTYK"	4	0	0	"Down"	0.594	0.9955	0.063	0.949900332225914
"HIPK3"	6	0	0	"Up"	0.597	0.9955	0.16	0.949900332225914
"ADCK4"	4	0	0	"Down"	0.597	0.9955	0.75	0.949900332225914
"AKT3"	5	0	0.2	"Up"	0.604	0.9955	0.552	0.949900332225914
"KCNH2"	4	0	0	"Down"	0.621	0.9955	0.873	0.949900332225914
"MAPKAPK3"	5	0	0	"Down"	0.624	0.9955	0.265	0.949900332225914
"DDR2"	4	0	0	"Down"	0.625	0.9955	0.996	0.996
"MAP2K2"	4	0	0	"Up"	0.629	0.9955	0.832	0.949900332225914
"EPHB3"	6	0	0	"Down"	0.632	0.9955	0.941	0.962555910543131
"ABL2"	7	0	0	"Down"	0.636	0.9955	0.692	0.949900332225914
"NAGK"	4	0	0	"Down"	0.636	0.9955	0.899	0.95
"FGFR1"	4	0	0	"Up"	0.64	0.9955	0.811	0.949900332225914
"PRKCA"	7	0	0	"Up"	0.641	0.9955	0.587	0.949900332225914
"IGF1R"	10	0.1	0	"Down"	0.642	0.9955	0.741	0.949900332225914
"ACVR2B"	4	0	0	"Up"	0.646	0.9955	0.979	0.984654088050315
"HIPK4"	4	0	0	"Down"	0.652	0.9955	0.887	0.949900332225914
"PSKH2"	8	0	0	"Up"	0.656	0.9955	0.565	0.949900332225914
"MARK1"	4	0	0	"Down"	0.656	0.9955	0.222	0.949900332225914
"PIP5K1C"	4	0.25	0	"Down"	0.659	0.9955	0.128	0.949900332225914
"STK10"	5	0	0	"Down"	0.66	0.9955	0.819	0.949900332225914
"PLK1"	4	0	0	"Up"	0.67	0.9955	0.72	0.949900332225914
"PRKCZ"	7	0	0	"Down"	0.674	0.9955	0.427	0.949900332225914
"HIPK2"	4	0.25	0	"Down"	0.679	0.9955	0.506	0.949900332225914
"BMP2K"	4	0	0	"Up"	0.688	0.9955	0.509	0.949900332225914
"OBSCN"	9	0	0	"Down"	0.694	0.9955	0.902	0.95
"ATM"	4	0	0	"Up"	0.695	0.9955	0.743	0.949900332225914
"MAPK10"	6	0	0	"Down"	0.696	0.9955	0.903	0.95
"LYN"	5	0	0	"Up"	0.701	0.9955	0.424	0.949900332225914
"FGFR2"	5	0	0	"Up"	0.701	0.9955	0.511	0.949900332225914
"PDK2"	4	0	0	"Down"	0.703	0.9955	0.838	0.949900332225914
"WNK1"	6	0	0	"Up"	0.711	0.9955	0.355	0.949900332225914
"MOS"	4	0	0	"Up"	0.711	0.9955	0.635	0.949900332225914
"MAPKAPK2"	7	0.142857142857143	0	"Down"	0.712	0.9955	0.679	0.949900332225914
"PIK3CA"	4	0	0	"Up"	0.715	0.9955	0.436	0.949900332225914
"CHUK"	5	0	0	"Up"	0.717	0.9955	0.667	0.949900332225914
"TTK"	6	0	0	"Down"	0.718	0.9955	0.789	0.949900332225914
"SNRK"	8	0	0	"Down"	0.72	0.9955	0.632	0.949900332225914
"MAPKAPK5"	4	0	0	"Up"	0.722	0.9955	0.648	0.949900332225914
"EPHA8"	4	0	0	"Down"	0.722	0.9955	0.701	0.949900332225914
"POLR2D"	4	0	0	"Up"	0.724	0.9955	0.656	0.949900332225914
"NTRK3"	5	0	0	"Up"	0.726	0.9955	0.761	0.949900332225914
"GRK6"	7	0	0	"Down"	0.729	0.9955	0.951	0.968662420382166
"PRKAG3"	4	0	0	"Up"	0.731	0.9955	0.704	0.949900332225914
"MAPK7"	5	0	0	"Up"	0.734	0.9955	0.387	0.949900332225914
"PTK2B"	6	0	0	"Down"	0.735	0.9955	0.726	0.949900332225914
"LMTK2"	5	0	0	"Up"	0.743	0.9955	0.555	0.949900332225914
"JAK2"	7	0	0	"Down"	0.745	0.9955	0.622	0.949900332225914
"SRMS"	7	0	0	"Down"	0.745	0.9955	0.825	0.949900332225914
"NRP2"	4	0	0	"Down"	0.745	0.9955	0.488	0.949900332225914
"MYLK4"	4	0	0	"Down"	0.747	0.9955	0.914	0.952182410423453
"BMPR1B"	9	0	0	"Up"	0.749	0.9955	0.257	0.949900332225914
"CKB"	7	0	0	"Up"	0.751	0.9955	0.701	0.949900332225914
"ROS1"	4	0	0	"Up"	0.751	0.9955	0.279	0.949900332225914
"GTF2H1"	4	0	0	"Down"	0.753	0.9955	0.756	0.949900332225914
"PDGFRB"	6	0	0	"Up"	0.762	0.9955	0.494	0.949900332225914
"JAK3"	4	0	0.25	"Down"	0.767	0.9955	0.437	0.949900332225914
"PDPK1"	6	0	0	"Up"	0.77	0.9955	0.442	0.949900332225914
"PRKCE"	5	0	0.2	"Up"	0.772	0.9955	0.766	0.949900332225914
"PDK4"	4	0	0.25	"Up"	0.775	0.9955	0.396	0.949900332225914
"CHEK2"	5	0	0	"Down"	0.777	0.9955	0.803	0.949900332225914
"TTN"	6	0	0.166666666666667	"Up"	0.778	0.9955	0.845	0.949900332225914
"TYRO3"	9	0	0	"Down"	0.781	0.9955	0.596	0.949900332225914
"AKAP9"	4	0	0	"Down"	0.781	0.9955	0.675	0.949900332225914
"ALPK3"	4	0	0	"Down"	0.785	0.9955	0.668	0.949900332225914
"PI4K2B"	4	0	0.25	"Up"	0.786	0.9955	0.202	0.949900332225914
"LATS2"	5	0	0	"Up"	0.792	0.9955	0.942	0.962555910543131
"SGK494"	4	0	0	"Up"	0.792	0.9955	0.89	0.949900332225914
"DAPK3"	6	0.166666666666667	0	"Down"	0.796	0.9955	0.592	0.949900332225914
"MAP3K3"	4	0	0	"Up"	0.797	0.9955	0.849	0.949900332225914
"FLT3"	6	0	0	"Down"	0.798	0.9955	0.526	0.949900332225914
"PLK4"	5	0	0	"Down"	0.799	0.9955	0.82	0.949900332225914
"NMRK1"	4	0.25	0	"Down"	0.801	0.9955	0.397	0.949900332225914
"MAP3K6"	4	0	0	"Down"	0.806	0.9955	0.795	0.949900332225914
"PRKD3"	6	0	0	"Down"	0.807	0.9955	0.81	0.949900332225914
"EPHA7"	6	0	0	"Down"	0.809	0.9955	0.797	0.949900332225914
"NLK"	9	0	0	"Up"	0.816	0.9955	0.591	0.949900332225914
"MAPK1"	4	0	0	"Down"	0.818	0.9955	0.536	0.949900332225914
"SPHK1"	4	0.25	0	"Up"	0.822	0.9955	0.055	0.949900332225914
"PRKD2"	5	0	0	"Down"	0.83	0.9955	0.566	0.949900332225914
"AURKB"	7	0.142857142857143	0	"Up"	0.834	0.9955	0.7	0.949900332225914
"MAP3K1"	7	0	0	"Down"	0.835	0.9955	0.023	0.949900332225914
"PBK"	5	0	0	"Up"	0.837	0.9955	0.91	0.951111111111111
"CDK15"	5	0	0	"Up"	0.838	0.9955	0.83	0.949900332225914
"SGK196"	4	0	0	"Down"	0.839	0.9955	0.525	0.949900332225914
"ACVR1C"	8	0.125	0	"Down"	0.84	0.9955	0.411	0.949900332225914
"RPS6KA6"	4	0	0	"Up"	0.84	0.9955	0.707	0.949900332225914
"MAP4K5"	5	0	0	"Up"	0.848	0.9955	0.699	0.949900332225914
"PRKACG"	4	0	0	"Down"	0.85	0.9955	0.731	0.949900332225914
"MAST1"	6	0	0	"Up"	0.852	0.9955	0.597	0.949900332225914
"EFNA3"	5	0	0	"Down"	0.852	0.9955	0.479	0.949900332225914
"TAF1"	5	0	0	"Up"	0.854	0.9955	0.771	0.949900332225914
